Borough,Primary Property Type - Self Selected,Largest Property Use Type - Gross Floor Area (sqft),Year Built,Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Electricity Use - Grid Purchase (kBtu)
Manhattan,Office,957422,1984,Not Available,Not Available,Not Available,Not Available,Not Available,18885296.8,1157645.4,58252800.7
Manhattan,Multifamily Housing,529000,1961,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,34644769.8,20514451
Manhattan,Office,241535,1986,Not Available,4143568.5,Not Available,Not Available,Not Available,Not Available,,15534608.3
Manhattan,Office,298776,1936,Not Available,Not Available,Not Available,Not Available,Not Available,8586964.2,,12398918.9
Manhattan,Multifamily Housing,51895,2009,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2534500.2,1673125.4
Manhattan,Multifamily Housing,158477,2001,Not Available,0,Not Available,Not Available,Not Available,Not Available,9384012.7,1888340.8
Manhattan,Multifamily Housing,388596,2003,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27838866.7,15317380.8
Manhattan,Office,878000,1958,Not Available,Not Available,Not Available,Not Available,Not Available,17198148,,25993748.9
Manhattan,Residence Hall/Dormitory,115488,1900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,283187.9,4542452.7
Manhattan,Residence Hall/Dormitory,66687,1952,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4162235.6,3208424.9
Manhattan,Multifamily Housing,99748,2007,Not Available,Not Available,Not Available,Not Available,Not Available,4876341,580784.9,3961261.5
Manhattan,Multifamily Housing,112605,1920,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2588800,2922855.7
Manhattan,Multifamily Housing,79470,1900,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3339400,3339921.4
Manhattan,Multifamily Housing,75314,1906,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1964396.9,1126135.9
Manhattan,Hotel,358200,1992,Not Available,Not Available,Not Available,Not Available,Not Available,17135439.2,45457748.7,7552806.8
Manhattan,Office,93154,1907,Not Available,Not Available,3845462.5,Not Available,Not Available,Not Available,,3918144.1
Manhattan,Office,72000,1911,Not Available,Not Available,Not Available,Not Available,Not Available,3174961806,,3317999.2
Manhattan,Multifamily Housing,505382,2006,Not Available,7420535.5,Not Available,0,Not Available,Not Available,23159016.3,17422149.7
Manhattan,Office,461731,1915,Not Available,Not Available,21707572.9,Not Available,Not Available,Not Available,1336866.7,20485880.4
Manhattan,Office,100000,1883,Not Available,2053812.5,Not Available,Not Available,Not Available,Not Available,,3817593.9
